Name,Location,city,latitude,longitude,,1313
"The Giacomo, An Ascend Hotel Collection Member",222 First Street,Niagara Falls,43.0853,-79.0617,,"The Giacomo, An Ascend Hotel Collection Member"
Days Inn Niagara Falls Buffalo,2821 Niagara Falls Blvd,Niagara Falls,43.0892,-78.8924,,Days Inn Niagara Falls Buffalo
Holiday Inn Niagara Falls Scenic Downtown,114 Buffalo Ave,Niagara Falls,43.0833,-79.0612,,Holiday Inn Niagara Falls Scenic Downtown
"Sheraton at the Falls, Niagara Falls, NY",300 3rd St,Niagara Falls,43.0862,-79.0591,,"Sheraton at the Falls, Niagara Falls, NY"
Rodeway Inn & Suites Niagara Falls,9802 Niagara Falls Blvd,Niagara Falls,43.097,-78.949,,Rodeway Inn & Suites Niagara Falls
Swiss Cottage Inn,6831 Niagara Falls Blvd,Niagara Falls,43.0885,-78.9846,,Swiss Cottage Inn
Quality Inn Niagara Falls,7708 Niagara Falls Blvd,Niagara Falls,43.0884,-78.976,,Quality Inn Niagara Falls
Comfort Inn The Pointe,1 Prospect Pointe,Niagara Falls,43.0871,-79.0631,,Comfort Inn The Pointe
Seneca Niagara Resort & Casino,310 4th St,Niagara Falls,43.0858,-79.0578,,Seneca Niagara Resort & Casino
Motel 6 Niagara Falls NY,9100 Niagara Falls Blvd,Niagara Falls,43.0939,-78.9572,,Motel 6 Niagara Falls NY
Budget Host Inn Niagara Falls,6621 Niagara Falls Blvd,Niagara Falls,43.0891,-78.9873,,Budget Host Inn Niagara Falls
Travelodge Niagara Falls,9401 Niagara Falls Blvd,Niagara Falls,43.0939,-78.9569,,Travelodge Niagara Falls
Quality Hotel & Suites At The Falls,240 1st Street,Niagara Falls,43.0857,-79.0617,,Quality Hotel & Suites At The Falls
Americas Best Value Inn,6505 Niagara Falls Blvd,Niagara Falls,43.0894,-78.9891,,Americas Best Value Inn
Days Inn Niagara At The Falls,443 Main St,Niagara Falls,43.0895,-79.0627,,Days Inn Niagara At The Falls
Knights Inn Niagara Falls Near IAG Airport,9001 Niagara Falls Blvd,Niagara Falls,43.0933,-78.9591,,Knights Inn Niagara Falls Near IAG Airport
Pelican Motel,6817 Niagara Falls Boulevard,Niagara Falls,43.0889,-78.9856,,Pelican Motel
