Name,Location,city,latitude,longitude
Fairway Suites at Peek'n Peak,1433 Conway Road,Clymer,42.0623,-79.7256
Peek'N Peak Inn,1405 Olde Road,Clymer,42.0624,-79.7349
Rodeway Inn and Suites,121 Burgin Drive,Cobleskill,42.6824,-74.4731
"Super 8 Cobleskill, NY",955 East Main Street,Cobleskill,42.6801,-74.4666
The Harbor Rose,253 Harbor Road (25A),Cold Spring Harbor,40.8603,-73.4624
Hampton Inn Long Island / Commack,680 Commack Road,Commack,40.8066,-73.2945
Holiday Express Hotel & Suites Cooperstown,4758 State Highway 28,Cooperstown,42.6539,-74.9643
Best Western Cooperstown Inn & Suites,50 Commons Drive,Cooperstown,42.6499,-74.9644
The Willow Tree Inn,3179 County Highway 33,Cooperstown,42.7662,-74.8371
Landmark Inn,64 Chestnut  Street,Cooperstown,42.6985,-74.9298
Red Carpet Inn & Suites Cooperstown,4909 State Hwy 28,Cooperstown,42.6612,-74.9581
Days Inn Long Island / Copiague,10 34th St,Copiague,40.6915,-73.3965
Econo Lodge Darien Lakes,8493 Route 77,Corfu,43.0007,-78.4058
Staybridge Suites Corning,201 Townley Ave,Corning,42.1543,-77.0547
Radisson Hotel Corning,125 Denison Pkwy E,Corning,42.1418,-77.0493
Comfort Inn Corning,66 W Pulteney St,Corning,42.1513,-77.0634
Fairfield Inn Marriott Corning,3 S Buffalo St,Corning,42.1532,-77.0789
Budget Inn Corning,11385 LPGA Drive,Corning,42.1197,-77.0088
Nel's Place,1897 Ranch Lane,Corning,42.0966,-77.0888
Cadet Motel,2582 US Highway 9W,Cornwall,41.4438,-74.0394
Gavin's Irish Country Inn,118 Golden Hill Road,Cornwallville,42.3731,-74.1060
SpringHill Suites by Marriott New York LaGuardia Airport,112-15 Northern Boulevard,Corona,40.7582,-73.8574
Holiday Inn LaGuardia Airport,37-10 114th Street,Corona,40.7546,-73.8536
Best Western Plus LaGuardia Airport Hotel Queens,112-26 Roosevelt Avenue,Corona,40.7522,-73.8536
Corona Hotel,112-23 Roosevelt Avenue,Corona,40.7524,-73.8538
Ramada Cortland Hotel and Conference Center,2 River St,Cortland,42.6069,-76.1670
Hope Lake Lodge & Indoor Waterpark,2000 NYS Rt. 392,Cortland,42.5158,-76.1438
Quality Inn Cortland,188 Clinton Ave,Cortland,42.6113,-76.1652
Holiday Inn Express Cortland,4.5 Locust Avenue,Cortland,42.6107,-76.1662
"Country Inn & Suites By Carlson, Cortland",3707 Route 281,Cortland,42.5863,-76.2112
Hampton Inn Cortland,26 River St,Cortland,42.6067,-76.1648
