Name,Location,Latitude,Longitude
Dr. Richard Greene Playground,Mother Gaston Boulevard (Stone Avenue) & Sutter avenues,40.6644,-73.9055
Drew Playground,"Fulton Avenue, East 169 Street",40.8322,-73.9034
Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",40.7253,-73.9762
Dyckman House Museum,Broadway & West 204 Street,40.8670,-73.9231
Dyker Beach Park,"Shore Parkway, 86 Street, 7 to 14 avenues",40.6331,-73.8826
East River Park (Tennis Courts),East River Park at Broome Street,40.7189,-73.9744
East River Park (Track Building),East 6 Street & FDR Drive,40.7216,-73.9748
East River Playground,"FDR Drive, East 106 to East 107 streets",40.7888,-73.9378
Eastchester Playground,"Adee Avenue, Tenbroeck Avenue",40.8694,-73.8528
Edenwald Playground,"East 226 Drive, Schieffelin Avenue",40.8835,-73.8453
Ederle Comfort Station,Flushing Meadows Corona Park,40.7400,-73.8407
Edmonds Playground,"DeKalb Avenue, Adelphi Street",40.6895,-73.9711
Ethan Allen Playground,New Jersey Avenue & Vermont Street/Worthman,40.9637,-74.6291
Farm Playground,"73 Avenue, 195 Street & 196 Place",47.7701,-122.3019
Fermi Playground,Troutman Street & Central Avenue,40.7050,-73.9245
Fisher Pool,"32 Avenue, 99 Street",45.6874,-73.8945
Flushing Meadows Corona Park (Albert H. Mauro Playground),Park Drive East & 73 Terrace,40.7231,-73.8267
Flushing Meadows Corona Park (Lawrence Playground),College Point Boulevard and Lawrence Street,40.7673,-73.8395
Flushing Meadows Corona Park (Meadow Lake North),Long Island Expressway to Meadow Lake to Van Wyck Expressway Extension to Grand Central Parkway,40.7891,-73.1350
Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",40.7464,-73.8451
Flushing Meadows Corona Park (Playground for All Children),111 Street and Corona Avenue,40.7408,-73.8501
Hansborough Recreation Center,35 West 134 Street,40.8129,-73.9394
Flushing Meadows Corona Park (Worlds Fair Playground),"Grand Central Parkway, Van Wyck Expressway",40.7186,-73.7957
Flynn Playground,"3 Avenue, East 158 Street, Brook Avenue, East 157 Street",40.8328,-73.9051
Forest Park (Jackson Pond Playground),108 Street and Park Lane South,40.7009,-73.8422
"Forest Park (Sobelsohn Playground, The Overlook)",Park Lane South and Abingdon Road,51.5083,-0.1547
Forest Park (Tennis Courts -Forest Parkway),Park Lane South to north of tennis courts,40.7313,-74.0320
Forest Park (Victory Field),Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street,40.7859,-73.9509
"Forest Park (Visitor Center, near the Carousel)",Woodhaven Boulevard and Forest Park Drive,40.7006,-73.8545
Fort Greene Park,South of Myrtle Avenue to Willoughby Avenue,40.6946,-73.9432
Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,40.8655,-73.9273
Fort Tryon Park (Caf̩),One Margaret Corbin Drive,40.8625,-73.9327
Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",40.8645,-73.9266
Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",40.8349,-73.9378
Francis Lewis Playground,3 Avenue and Bronx Whitestone Bridge,40.8014,-73.8293
Frank D. O'Connor Playground,Broadway & 78 Street,40.7832,-73.9806
Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",40.8211,-73.9275
Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",40.8096,-73.9442
